CVE;advisory name;advisory URL;unknown PoC;Github PoC;Curl PoC;XML PoC;
CVE-2023-44487;SNYK-ALPINE315-LIGHTTPD-6042944;https://security.snyk.io/vuln/SNYK-ALPINE315-LIGHTTPD-6042944;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE315-NGHTTP2-5964211;https://security.snyk.io/vuln/SNYK-ALPINE315-NGHTTP2-5964211;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE315-NGINX-6012604;https://security.snyk.io/vuln/SNYK-ALPINE315-NGINX-6012604;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE316-LIGHTTPD-6042949;https://security.snyk.io/vuln/SNYK-ALPINE316-LIGHTTPD-6042949;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE316-NGHTTP2-6043732;https://security.snyk.io/vuln/SNYK-ALPINE316-NGHTTP2-6043732;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE316-NGINX-5969471;https://security.snyk.io/vuln/SNYK-ALPINE316-NGINX-5969471;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE317-JETTYRUNNER-5969477;https://security.snyk.io/vuln/SNYK-ALPINE317-JETTYRUNNER-5969477;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE317-LIGHTTPD-6042947;https://security.snyk.io/vuln/SNYK-ALPINE317-LIGHTTPD-6042947;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE317-NGHTTP2-5954769;https://security.snyk.io/vuln/SNYK-ALPINE317-NGHTTP2-5954769;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE317-NGINX-5969473;https://security.snyk.io/vuln/SNYK-ALPINE317-NGINX-5969473;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-DOTNET6BUILD-5960913;https://security.snyk.io/vuln/SNYK-ALPINE318-DOTNET6BUILD-5960913;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-DOTNET6RUNTIME-5960914;https://security.snyk.io/vuln/SNYK-ALPINE318-DOTNET6RUNTIME-5960914;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-DOTNET7BUILD-5960919;https://security.snyk.io/vuln/SNYK-ALPINE318-DOTNET7BUILD-5960919;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-DOTNET7RUNTIME-5960920;https://security.snyk.io/vuln/SNYK-ALPINE318-DOTNET7RUNTIME-5960920;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-GO-5962460;https://security.snyk.io/vuln/SNYK-ALPINE318-GO-5962460;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-H2O-5962285;https://security.snyk.io/vuln/SNYK-ALPINE318-H2O-5962285;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-JETTYRUNNER-5969475;https://security.snyk.io/vuln/SNYK-ALPINE318-JETTYRUNNER-5969475;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-NGHTTP2-5954768;https://security.snyk.io/vuln/SNYK-ALPINE318-NGHTTP2-5954768;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE318-NGINX-5969472;https://security.snyk.io/vuln/SNYK-ALPINE318-NGINX-5969472;yes;no;no;no;
CVE-2023-44487;SNYK-ALPINE319-OPENJDK21-6173121;https://security.snyk.io/vuln/SNYK-ALPINE319-OPENJDK21-6173121;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2-GOLANG-5971126;https://security.snyk.io/vuln/SNYK-AMZN2-GOLANG-5971126;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2-GOLANGBIN-5971118;https://security.snyk.io/vuln/SNYK-AMZN2-GOLANGBIN-5971118;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2-GOLANGDOCS-5971129;https://security.snyk.io/vuln/SNYK-AMZN2-GOLANGDOCS-5971129;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2-GOLANGMISC-5971135;https://security.snyk.io/vuln/SNYK-AMZN2-GOLANGMISC-5971135;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2-GOLANGSHARED-5971125;https://security.snyk.io/vuln/SNYK-AMZN2-GOLANGSHARED-5971125;yes;no;no;no;
CVE-2023-44487;SNYK-AMZN2-GOLANGSRC-5971138;https://security.snyk.io/vuln/SNYK-AMZN2-GOLANGSRC-5971138;yes;no;no;no;
